crawl_date,city,forecast_time,hour_sort,temp_c,feels_like_c,temp_min_c,temp_max_c,pressure_hpa,humidity_pct,wind_speed_ms,wind_deg,cloudiness_pct,weather_main,weather_desc,pop,rain_3h_mm
2025-09-12,Jaipur,11:30,11,30.01,31.56,30.01,30.01,1010,53,4.54,293,9,Clear,clear sky,0,0
2025-09-12,Agra,11:30,11,33.81,36.16,33.81,33.81,1008,44,3.5,309,16,Clouds,few clouds,0,0
2025-09-12,Agra,20:30,20,31.58,33.39,31.58,31.58,1005,49,2.81,229,15,Clouds,few clouds,0,0
2025-09-12,Surat,20:30,20,26.07,26.07,26.07,26.07,1009,77,2.66,216,23,Clouds,few clouds,0,0
2025-09-12,Jaipur,14:30,14,32.05,33.54,32.05,32.05,1007,46,3.3,280,31,Clouds,scattered clouds,0,0
2025-09-12,Surat,08:30,8,26.78,29.02,26.78,27.28,1010,77,1.13,263,38,Clouds,scattered clouds,0,0
2025-09-12,Kanpur,14:30,14,34.62,37.1,34.62,34.62,1004,42,2.34,286,35,Clouds,scattered clouds,0,0
2025-09-12,Ludhiana,05:30,5,25.61,26.18,25.61,25.67,1005,75,1.45,162,44,Clouds,scattered clouds,0,0
2025-09-12,Lucknow,14:30,14,33.78,35.3,33.78,33.78,1004,41,3.7,312,40,Clouds,scattered clouds,0,0
2025-09-12,Agra,08:30,8,29.48,31.7,29.48,29.92,1007,59,4.12,289,40,Clouds,scattered clouds,0,0
2025-09-12,Jaipur,08:30,8,25.84,26.28,25.84,26.34,1009,69,6.25,295,39,Clouds,scattered clouds,0,0
2025-09-12,Ludhiana,02:30,2,25.58,26.15,25.58,25.58,1005,75,1.53,166,39,Clouds,scattered clouds,0,0
2025-09-12,Mumbai,14:30,14,27.52,30.1,27.52,27.52,1008,73,3.41,265,99,Clouds,overcast clouds,0,0
2025-09-12,Pune,17:30,17,24.9,25.38,24.9,24.9,1009,74,3.49,279,99,Clouds,overcast clouds,0,0
2025-09-12,Indore,02:30,2,21.82,22.3,21.82,21.82,1009,86,2.87,314,99,Clouds,overcast clouds,0,0
2025-09-12,Indore,05:30,5,21.82,22.3,21.82,21.82,1009,86,2.76,318,99,Clouds,overcast clouds,0,0
2025-09-12,Patna,02:30,2,28.04,31.44,27.71,28.04,1006,75,1.38,318,99,Clouds,overcast clouds,0,0
2025-09-12,Mumbai,17:30,17,27.77,30.86,27.77,27.77,1008,75,3.83,291,98,Clouds,overcast clouds,0,0
2025-09-12,Kolkata,08:30,8,29.97,34.97,29.97,31.12,1007,70,2.58,116,98,Clouds,overcast clouds,0,0
2025-09-12,Lucknow,05:30,5,27.3,29.47,26.9,27.3,1005,71,1.75,293,98,Clouds,overcast clouds,0,0
2025-09-12,Mumbai,20:30,20,27.7,30.96,27.7,27.7,1009,77,3.47,305,90,Clouds,overcast clouds,0,0
2025-09-12,Jaipur,02:30,2,24.83,25.22,24.83,24.83,1008,71,3.29,266,91,Clouds,overcast clouds,0,0
2025-09-12,Kanpur,02:30,2,26.7,28.36,26.7,26.7,1006,70,2.7,266,89,Clouds,overcast clouds,0,0
2025-09-12,Kanpur,05:30,5,26.6,26.6,26.4,26.6,1006,72,2.23,286,90,Clouds,overcast clouds,0,0
2025-09-12,Kanpur,08:30,8,28.81,31.48,28.81,29.87,1007,65,1.81,282,90,Clouds,overcast clouds,0,0
2025-09-12,Bhopal,11:30,11,28.12,30.76,28.12,28.12,1010,69,3.21,350,95,Clouds,overcast clouds,0,0
2025-09-12,Patna,14:30,14,34.31,39.08,34.31,34.31,1003,50,3.01,284,96,Clouds,overcast clouds,0,0
2025-09-12,Patna,17:30,17,32.74,38.52,32.74,32.74,1003,59,2.47,295,95,Clouds,overcast clouds,0,0
2025-09-12,Patna,20:30,20,31.55,36.33,31.55,31.55,1005,61,1.45,312,94,Clouds,overcast clouds,0,0
